Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	significant	gene_class	-log10_p_val
SGK3	1.181842753158949e-16	-0.2821100938514244	0.115	0.216	4.311953284900426e-12	TRUE	Other	11.365325952881584
VCP	1.1948204083734886e-16	-0.3047765687506223	0.334	0.455	4.359302259950673e-12	TRUE	Other	11.360583017360463
DDIT4L	1.2727292283789731e-16	0.4236103526217168	0.053	0.008	4.6435525897406835e-12	TRUE	Other	11.333149631562087
SRSF9	1.303325340056945e-16	-0.21301845741139047	0.227	0.354	4.755182503197764e-12	FALSE	Other	11.322832810249027
TALDO1	1.3957177645331662e-16	-0.3900401275874683	0.331	0.445	5.0922762638992564e-12	TRUE	Other	11.293088043228831
MARCKSL1	1.74975310957065e-16	0.36687527628248984	0.464	0.34	6.383974220268517e-12	TRUE	Other	11.194908875419504
STAT2	1.944867285185828e-16	-0.1842690914282323	0.041	0.114	7.095848290000494e-12	FALSE	Other	11.148995678339798
IRAK2	2.0407523078167766e-16	-0.33392486894645534	0.326	0.45	7.44568479506951e-12	TRUE	Other	11.128095353110847
GP1BB	2.320563078250778e-16	0.43433250694676045	0.098	0.033	8.466574390997964e-12	TRUE	Other	11.072292271371234
EEF1B2	2.526881939734722e-16	0.3205849185005727	0.897	0.862	9.219328757122135e-12	TRUE	Other	11.03530069800169
LYRM4	2.9026550766097387e-16	-0.2411820523053273	0.081	0.17	1.0590337047010632e-11	FALSE	Other	10.975090217859698
LINC00877	3.190892093893911e-16	0.3497343038996199	0.229	0.127	1.1641969804571937e-11	TRUE	Other	10.933973531466256
BLVRB	3.415530746541818e-16	0.24123117534551303	0.161	0.075	1.2461563928757824e-11	FALSE	Other	10.904427450212355
TPT1	3.8229336903321564e-16	0.13434268323639564	0.999	0.998	1.3947973569176871e-11	FALSE	Other	10.855488884265053
