Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_class	-log10_p_val
PMPCB	0.14200188744525982	0.1039682620408356	0.153	0.108	1	Other	-0
BCL2	0.1420432001672417	0.04440846720676228	0.158	0.108	1	Other	-0
NOSIP	0.14222021137801008	0.0896567798795894	0.081	0.047	1	Other	-0
TBC1D22A	0.1422566682686628	-0.379854962656528	0.037	0.061	1	Other	-0
NCF1	0.14237343106606767	-0.04689766903031769	0.046	0.02	1	Other	-0
AC107375.1	0.14237689879335091	-0.05372516534573426	0.013	0.027	1	Other	-0
WASHC1	0.14237689879335091	-0.06480600043331139	0.013	0.027	1	Other	-0
MCM7	0.1423898051425687	-0.37897276868729407	0.032	0.054	1	Other	-0
ENG	0.14258735276609638	-0.08900387265163577	0.048	0.074	1	Other	-0
ARSB	0.14286809361236508	0.04870737282927998	0.026	0.007	1	Other	-0
KIAA0930	0.14318876212709852	-0.04390435750178981	0.013	0.027	1	Other	-0
PPP1R14B	0.1432026980813055	0.04754149055694134	0.358	0.291	1	Other	-0
CRBN	0.1433744169650139	-0.13753609914730724	0.116	0.155	1	Other	-0
SYPL1	0.14337832116560445	0.05564322587660775	0.138	0.095	1	Other	-0
PPP1R16B	0.14339228189273137	-0.08888424049050395	0.013	0.027	1	Other	-0
INIP	0.143407709972362	0.05240391921584786	0.037	0.014	1	Other	-0
NDUFA7	0.14365045837495216	-0.0812281030716881	0.185	0.135	1	Other	-0
SNRPD2	0.14374347554515635	-0.02929932307450244	0.414	0.318	1	Other	-0
DIXDC1	0.14380362213797776	-0.20953316568661148	0.022	0.041	1	Other	-0
DIPK2A	0.14382897000908024	0.07676728278182923	0.089	0.054	1	Other	-0
PRPF38A	0.14421944357398964	-0.1317008957831804	0.1	0.061	1	Other	-0
PDXDC1	0.14438517632433168	-0.19651031986653697	0.136	0.088	1	Other	-0
GCFC2	0.14458859765129084	0.03140231490467845	0.014	0	1	Other	-0
PMVK	0.14458860165149404	0.03600489899921039	0.014	0	1	Other	-0
ITGA2	0.14458860165149404	0.03773202442283507	0.014	0	1	Other	-0
B3GAT2	0.14458860165149404	0.02899549902939355	0.014	0	1	Other	-0
AC087854.1	0.14458860165149404	0.03881857975655363	0.014	0	1	Other	-0
C11orf21	0.14458860165149404	0.03240940253695411	0.014	0	1	Other	-0
DDX55	0.14458860165149404	0.03987455613701266	0.014	0	1	Other	-0
AC037198.2	0.14458860165149404	0.0327651540076264	0.014	0	1	Other	-0
PELP1	0.14458860165149404	0.03644503737871675	0.014	0	1	Other	-0
TMX3	0.14458860165149404	0.03183794042235991	0.014	0	1	Other	-0
LENG8-AS1	0.14458860165149404	0.03900469173849852	0.014	0	1	Other	-0
FAM72A	0.1446180634341697	-0.0276738437357458	0.013	0.027	1	Other	-0
POLR2E	0.1447821346185419	-0.00632227905256993	0.116	0.074	1	Other	-0
MTCH2	0.1448725945276602	0.06924170120195852	0.045	0.02	1	Other	-0
RIC1	0.14515568464631975	0.04605458069921141	0.026	0.007	1	Other	-0
MMP24OS	0.14529858105957405	-0.19336377141296213	0.39	0.297	1	Other	-0
NRBF2	0.14561511599428503	-0.11599738980821211	0.168	0.115	1	Other	-0
AL390783.1	0.14561655118452868	0.04495304972980498	0.026	0.007	1	Other	-0
SS18L2	0.14561838624305826	0.07248106256134884	0.09	0.054	1	Other	-0
ABRACL	0.14565936654429865	-0.04603997858510628	0.187	0.135	1	Other	-0
CEBPB	0.14566120320194922	-0.5872595053176939	0.42	0.331	1	Other	-0
KLHL21	0.14567811974044595	0.10779100931415347	0.128	0.088	1	Other	-0
ETV3L	0.14592441737961998	0.03924715771816581	0.026	0.007	1	Other	-0
PBX3	0.1459327903319217	0.05636903486444364	0.101	0.061	1	Other	-0
RAB11FIP1	0.1460293340850859	-0.7062800352638632	0.06	0.088	1	Other	-0
DANCR	0.14627555576964876	-0.1726515801361975	0.109	0.068	1	Other	-0
DOCK7	0.14645801012420134	0.04176190862888807	0.073	0.041	1	Other	-0
ANXA7	0.14646596721393812	-0.09579754131039686	0.419	0.331	1	Other	-0
ZNF335	0.14650535871409837	-0.0377698906553775	0.09	0.054	1	Other	-0
FUT4	0.14654164192729552	-0.01276408919460279	0.026	0.007	1	Other	-0
